permno,bankruptcy_dt
51335,7/5/1991
72581,7/17/1991
69913,7/25/1991
69040,7/31/1991
68603,7/31/1991
11340,7/31/1991
62712,8/2/1991
70244,8/9/1991
68769,8/9/1991
45050,8/30/1991
67694,8/30/1991
10190,9/5/1991
26658,9/9/1991
64813,9/11/1991
45233,9/13/1991
55247,9/20/1991
65023,9/21/1991
61372,9/25/1991
60011,10/1/1991
10701,10/4/1991
63589,10/7/1991
48208,10/10/1991
33646,10/11/1991
66915,10/16/1991
75358,10/18/1991
68486,11/4/1991
38711,11/7/1991
90254,11/11/1991
75749,11/15/1991
70754,11/15/1991
58480,11/25/1991
10077,11/27/1991
37874,12/4/1991
10504,12/5/1991
49438,12/6/1991
60978,12/9/1991
31878,12/11/1991
50198,12/13/1991
10625,12/16/1991
75187,12/24/1991
75953,12/24/1991
67803,12/27/1991
31764,12/31/1991
38447,12/31/1991
91775,1/3/1992
10285,1/7/1992
92137,1/10/1992
41216,1/24/1992
11523,1/27/1992
63669,1/27/1992
19617,1/31/1992
92962,1/31/1992
58069,2/4/1992
65349,2/7/1992
36740,2/11/1992
76440,2/12/1992
10175,2/26/1992
15544,2/26/1992
20693,3/9/1992
42236,3/13/1992
12254,3/23/1992
69201,3/23/1992
10354,4/3/1992
69569,4/6/1992
87645,4/28/1992
76328,4/28/1992
51051,5/5/1992
86610,5/5/1992
69075,5/8/1992
75570,5/15/1992
49330,5/15/1992
11843,6/1/1992
63933,6/2/1992
52652,6/2/1992
76093,7/10/1992
76092,7/10/1992
66588,7/13/1992
63482,7/14/1992
75158,7/15/1992
22366,8/12/1992
65816,8/18/1992
46770,8/18/1992
72389,8/24/1992
88701,8/24/1992
47191,8/25/1992
85009,9/4/1992
75903,9/8/1992
75295,9/11/1992
38173,9/17/1992
40708,10/15/1992
89077,10/19/1992
63079,10/20/1992
66202,10/22/1992
75894,10/26/1992
64039,10/30/1992
75344,10/31/1992
47750,11/10/1992
10282,11/22/1992
65227,11/24/1992
43318,12/1/1992
10329,12/15/1992
57963,12/18/1992
75872,12/30/1992
72988,12/31/1992
11549,1/4/1993
58801,1/6/1993
33145,1/7/1993
69235,1/19/1993
92217,1/28/1993
11160,1/28/1993
89608,2/2/1993
25718,2/3/1993
12933,2/23/1993
74625,3/5/1993
67184,3/9/1993
19131,3/17/1993
11169,3/29/1993
15325,3/31/1993
70113,4/5/1993
69526,4/12/1993
77176,4/19/1993
76689,4/23/1993
65867,5/3/1993
68910,6/4/1993
11617,6/8/1993
88613,6/9/1993
28636,6/25/1993
76229,7/8/1993
13187,7/15/1993
21945,7/19/1993
43844,7/20/1993
67985,7/31/1993
22605,8/27/1993
67628,9/5/1993
67620,9/5/1993
75451,9/17/1993
57832,9/21/1993
60177,9/29/1993
76167,10/12/1993
76262,10/13/1993
39781,10/18/1993
62615,10/25/1993
54578,10/25/1993
68291,11/3/1993
15974,11/4/1993
32089,11/9/1993
74123,11/12/1993
10247,11/12/1993
10763,11/16/1993
68208,11/17/1993
11080,11/22/1993
54797,12/3/1993
61567,12/6/1993
76491,12/8/1993
11453,12/13/1993
76066,12/19/1993
77444,12/25/1993
12135,12/30/1993
53050,1/11/1994
83441,1/17/1994
68363,1/21/1994
76983,1/21/1994
39116,1/24/1994
36805,2/4/1994
75397,3/1/1994
24600,3/24/1994
52231,4/8/1994
11560,4/15/1994
65518,4/28/1994
48785,5/12/1994
11344,5/13/1994
78098,5/13/1994
73913,5/20/1994
34076,6/22/1994
77574,6/27/1994
20918,7/7/1994
76901,7/18/1994
77540,7/21/1994
50682,7/22/1994
78070,7/25/1994
66595,7/27/1994
77796,8/17/1994
52847,9/19/1994
76427,9/23/1994
70164,9/28/1994
79832,10/11/1994
59839,10/14/1994
42366,11/3/1994
59467,11/8/1994
77812,11/15/1994
59707,11/21/1994
68654,11/23/1994
77930,12/5/1994
63386,12/7/1994
12167,1/25/1995
11673,1/26/1995
77423,1/26/1995
80118,2/3/1995
92997,2/3/1995
77529,2/7/1995
10557,2/27/1995
76991,3/17/1995
75869,3/24/1995
73700,3/30/1995
80342,4/3/1995
76949,4/6/1995
11259,4/20/1995
78055,4/28/1995
68101,5/12/1995
67790,5/17/1995
12003,5/19/1995
79989,6/14/1995
77770,6/23/1995
79924,6/30/1995
64821,6/30/1995
75643,7/5/1995
63626,8/2/1995
79174,8/2/1995
45381,8/3/1995
32600,8/3/1995
58641,9/5/1995
77866,9/8/1995
66801,9/13/1995
76896,9/15/1995
77480,9/18/1995
76607,9/18/1995
80726,9/20/1995
75164,9/22/1995
77358,9/22/1995
57197,10/10/1995
77846,10/10/1995
49576,10/12/1995
79779,10/27/1995
60927,10/31/1995
21039,11/3/1995
70455,11/10/1995
59790,11/13/1995
77102,12/6/1995
24126,12/8/1995
77601,12/15/1995
78025,12/20/1995
11898,1/3/1996
64151,1/5/1996
79834,1/23/1996
75763,1/23/1996
24716,1/24/1996
78164,1/25/1996
77657,2/2/1996
23545,2/8/1996
79202,2/14/1996
10361,3/19/1996
79314,3/25/1996
28207,4/1/1996
78220,4/1/1996
10055,4/2/1996
77209,4/10/1996
79690,4/29/1996
76538,5/29/1996
79603,5/29/1996
56354,6/3/1996
55079,6/25/1996
77478,7/2/1996
17874,7/3/1996
80930,7/12/1996
79187,7/12/1996
77536,7/26/1996
63749,8/5/1996
72514,8/5/1996
10141,8/9/1996
19019,8/27/1996
75561,9/9/1996
75031,9/13/1996
77531,9/16/1996
10222,9/24/1996
80751,9/26/1996
77397,9/27/1996
78163,9/30/1996
76678,10/7/1996
70421,10/9/1996
78007,11/8/1996
80181,11/12/1996
75705,11/27/1996
76278,12/6/1996
12284,12/11/1996
89886,12/17/1996
18067,12/23/1996
76546,12/23/1996
76759,12/27/1996
70260,1/10/1997
78677,1/14/1997
75149,1/20/1997
76173,1/21/1997
75356,1/23/1997
80282,1/27/1997
81720,1/30/1997
82183,2/7/1997
77794,2/10/1997
23481,2/14/1997
79887,3/6/1997
77364,3/17/1997
10879,4/7/1997
76967,5/2/1997
79837,5/8/1997
79370,6/2/1997
78873,6/4/1997
53509,6/26/1997
80931,7/11/1997
75914,7/11/1997
77611,7/14/1997
75435,7/14/1997
79043,7/21/1997
63298,7/21/1997
12218,7/31/1997
83491,8/1/1997
82626,8/4/1997
85607,8/10/1997
79102,8/11/1997
